# STAR T-pose vertices
# Vertex count: 6890
# Format: x y z
0.002009 0.507982 0.099689
0.002046 0.489225 0.106300
0.027390 0.387076 0.106087
0.027729 0.470079 0.100334
0.052376 0.432669 0.091014
0.030955 0.434514 0.099000
0.037556 0.429868 0.098660
0.037525 0.437756 0.095897
0.031464 0.440832 0.096548
0.018303 0.467474 0.100507
0.009279 0.463774 0.106170
0.013093 0.461945 0.099349
0.012653 0.455378 0.099492
0.009662 0.454822 0.108281
0.014233 0.447762 0.104199
0.015817 0.450165 0.098183
0.048647 0.459308 0.090438
0.051013 0.460765 0.088813
0.019350 0.442922 0.100929
0.024850 0.438694 0.099325
0.025775 0.443690 0.096606
0.020506 0.446531 0.097060
0.044458 0.434695 0.094328
0.057550 0.457746 0.080570
0.053893 0.446349 0.082659
0.072276 0.420477 -0.013987
0.068950 0.408680 -0.006674
0.076961 0.397788 0.014037
0.074773 0.394111 0.017204
0.069306 0.397262 0.012555
0.074584 0.400321 0.009355
0.085499 0.452797 -0.005262
0.083210 0.460940 -0.009314
0.083670 0.461852 -0.001652
0.084826 0.453823 -0.002466
0.082698 0.457553 0.004029
0.082723 0.460898 0.006531
0.082175 0.452469 0.008009
0.083721 0.452082 0.004501
0.083671 0.472023 0.007426
0.081342 0.469722 0.017581
0.080544 0.457695 0.014500
0.076200 0.454433 0.038927
0.077338 0.443225 0.025814
0.078157 0.451967 0.020712
0.078141 0.464059 0.027508
0.074856 0.399489 0.021412
0.074281 0.407237 0.024978
0.067065 0.400943 0.003792
0.002219 0.491595 -0.098050
0.001827 0.521849 -0.087562
0.067931 0.449452 -0.058391
0.057072 0.454381 -0.074170
0.074811 0.444998 -0.043336
0.077555 0.441998 -0.029803
0.043218 0.458884 -0.088150
0.024782 0.460974 -0.097003
0.076964 0.436634 0.039667
0.076056 0.431084 0.027040
0.064642 0.430275 -0.056634
0.052839 0.433228 -0.071669
0.071025 0.428432 -0.041337
0.074086 0.429095 -0.028164
0.038452 0.436191 -0.084361
0.018562 0.412497 -0.082425
